iter	Passed	Remaining
181	41583	72656
182	41904	72589
183	42187	72451
184	42399	72194
185	42598	71914
186	42805	71647
187	42986	71338
188	43235	71144
189	43457	70904
190	43689	70680
191	43950	70503
192	44086	70127
193	44345	69947
194	44602	69762
195	44752	69412
196	44954	69143
197	45107	68799
198	45320	68549
199	45467	68200
200	45714	68002
201	45915	67736
202	46077	67413
203	46217	67061
204	46429	66813
205	46598	66505
206	46863	66333
207	47128	66161
208	47374	65960
209	47523	65627
210	47659	65277
211	47817	64960
212	47990	64662
213	48226	64452
214	48349	64091
215	48552	63837
216	48755	63584
217	48959	63333
218	49077	62971
219	49266	62703
220	49472	62456
221	49590	62099
222	49719	61759
223	49963	61562
224	50133	61274
225	50326	61015
226	50498	60731
227	50638	60410
228	50768	60079
229	50983	59849
230	51249	59680
231	51381	59354
232	51517	59035
233	51714	58786
234	51895	58520
235	52056	58232
236	52205	57933
237	52455	57744
238	52579	57419
239	52700	57092
240	52826	56771
241	52965	56467
242	53087	56146
243	53300	55921
244	53591	55779
245	53742	55490
246	53909	55219
247	54082	54955
248	54214	54649
249	54349	54349
250	54487	54053
251	54612	53745
252	54757	53458
253	55007	53275
254	55151	52988
255	55325	52731
256	55522	52498
257	55705	52250
258	55869	51986
259	56037	51726
260	56174	51439
261	56317	51158
262	56459	50878
263	56590	50588
264	56731	50309
265	56904	50059
266	57096	49825
267	57253	49562
268	57379	49273
269	57553	49026
270	57682	48742
271	57820	48466
272	58042	48262
273	58179	47987
274	58316	47713
275	58447	47435
276	58580	47160
277	58711	46884
278	58844	46611
279	58978	46340
280	59130	46083
281	59278	45825
282	59411	45555
283	59565	45303
284	59720	45052
285	59869	44797
286	60021	44545
287	60164	44287
288	60286	44015
289	60404	43741
290	60523	43468
291	60641	43196
292	60791	42948
293	60914	42681
294	61045	42421
295	61172	42159
296	61299	41898
297	61442	41649
298	61561	41384
299	61689	41126
300	61958	40962
301	62125	40731
302	62274	40489
303	62396	40229
304	62523	39974
305	62653	39721
306	62799	39479
307	62927	39227
308	63048	38971
309	63170	38717
310	63313	38476
311	63441	38227
312	63564	37976
313	63761	37769
314	63921	37540
315	64112	37331
316	64233	37080
317	64441	36881
318	64575	36639
319	64697	36392
320	64823	36147
321	64964	35911
322	65097	35672
323	65231	35434
324	65374	35201
325	65507	34964
326	65630	34721
327	65761	34484
328	65950	34278
329	66082	34042
330	66238	33819
331	66427	33614
332	66609	33404
333	66825	33212
334	66952	32976
335	67120	32761
336	67266	32535
337	67397	32302
338	67545	32079
339	67679	31849
340	67821	31623
341	67973	31403
342	68099	31170
343	68230	30941
344	68392	30726
345	68519	30497
346	68646	30267
347	68917	30102
348	69050	29875
349	69207	29660
350	69351	29439
351	69551	29243
352	69722	29034
353	69876	28819
354	70021	28600
355	70249	28415
356	70419	28207
357	70660	28027
358	70840	27823
359	71022	27619
360	71299	27453
361	71468	27244
362	71717	27067
363	71859	26848
364	71977	26621
365	72094	26395
366	72264	26188
367	72538	26019
368	72786	25840
369	72931	25624
370	73053	25401
371	73175	25178
372	73295	24955
373	73445	24743
374	73568	24522
375	73690	24302
376	73875	24102
377	73994	23881
378	74158	23675
379	74294	23461
380	74416	23243
381	74638	23055
382	74850	22865
383	75079	22680
384	75278	22485
385	75434	22278
386	75703	22104
387	75874	21901
388	76056	21702
389	76192	21490
390	76318	21275
391	76443	21060
392	76565	20846
393	76686	20631
394	76848	20428
395	76978	20216
396	77257	20044
397	77401	19836
398	77559	19632
